,comp_id,industry_sector,location,is_tax_haven,num_owners,is_private,emp_base,num_employees,industry_category,rev_per_emp_month_size,annual_revenue,net_revenue
0,0,8,INDIA,NO,2,YES,MEDIUM,1006,r,VERY LOW,141949457.04,-22880780.77
1,1,9,INDIA,NO,1,YES,SMALL,122,r,MEDIUM,246209868.96,33668825.45
2,2,4,INDIA,NO,3,NO,VERY SMALL,29,s,LOW,32445553.8,2640856.53
3,3,0,INDIA,NO,1,NO,VERY SMALL,29,r,EXTRA HIGH,266847785.04,22401188.92
4,4,7,INDIA,NO,3,YES,VERY SMALL,31,r,VERY HIGH,202432504.8,36365788.44
5,5,0,INDIA,NO,1,YES,VERY LARGE,19448,r,EXTRA HIGH,122437374121.92,-13402854592.43
6,6,4,INDIA,NO,2,NO,MEDIUM,2529,s,LOW,1965854823.84,-166319971.27
7,7,0,OFFSHORE,YES,2,YES,VERY SMALL,25,r,EXTRA HIGH,235328367.0,-5753282.32
8,8,9,INDIA,NO,2,YES,LARGE,11958,r,MEDIUM,23677259008.32,4365475728.67
9,9,5,INDIA,NO,2,NO,EXTRA LARGE,149349,b,LOW,134026234673.04,24192684512.07
10,10,5,INDIA,NO,1,NO,LARGE,5307,b,LOW,4787333889.84,515164310.54
11,11,0,INDIA,NO,1,NO,LARGE,9785,r,EXTRA HIGH,93339511096.8,4530378567.22
12,12,0,INDIA,NO,3,NO,VERY SMALL,23,r,EXTRA HIGH,227142165.36,5065131.6
13,13,7,INDIA,NO,2,YES,MEDIUM,2180,r,VERY HIGH,12327113107.2,1515083803.44
14,14,7,INDIA,NO,5,YES,SMALL,282,r,VERY HIGH,1671346297.44,68018587.14
15,15,9,INDIA,NO,2,YES,SMALL,232,r,MEDIUM,470780496.96,37215831.09
16,16,0,INDIA,NO,3,NO,VERY SMALL,27,r,EXTRA HIGH,268419980.52,21147625.61
17,17,1,INDIA,NO,1,YES,EXTRA LARGE,94689,r,HIGH,294818776872.48,3576284088.76
18,18,1,INDIA,NO,1,NO,VERY SMALL,30,r,HIGH,100318068.0,18653055.86
19,19,7,INDIA,NO,1,YES,MEDIUM,1417,r,VERY HIGH,10036997841.0,-712204721.9
